,Topic,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10
0,Topic_1,parental,involvement,unesco,accessed,art,equal,provision,acceptance,government,right
1,Topic_2,decision,test,mathematics,belonging,decisions,og,emotions,subjects,och,taking
2,Topic_3,finnish,finland,youth,adolescents,mental,local,involvement,association,bj,supports
3,Topic_4,attitudes,friendship,friendships,preschool,german,friends,germany,values,phase,cultural
4,Topic_5,efficacy,items,home,middle,scores,achieving,feedback,achievement,beliefs,prior
5,Topic_6,reading,swedish,grade,van,average,test,grades,profound,tests,direct
6,Topic_7,adhd,girls,boys,gender,disorder,hyperactivity,deficit,symptoms,likely,diagnosis
7,Topic_8,preschool,members,unit,transitions,transition,swedish,north,pattern,agency,confidence
8,Topic_9,attitudes,transition,cooperation,assessed,youth,job,showing,explained,attitude,significantly
9,Topic_10,autistic,interests,spectrum,reviews,anxiety,disorder,achievement,efficacy,provision,range
10,Topic_11,relational,educators,post,test,interpersonal,video,informants,trust,theme,quotes
11,Topic_12,circle,members,instruction,families,home,mathematics,family,space,week,per
12,Topic_13,strengths,efficacy,lower,sources,swedish,preschool,finnish,validity,observations,states
13,Topic_14,educators,sweden,swedish,themes,expected,reports,away,ransson,consultation,tools
14,Topic_15,choice,collaborative,provision,parental,search,real,placement,category,informed,decision
15,Topic_16,agency,reviews,home,expert,parental,involvement,team,shared,documents,provision
16,Topic_17,reports,impairment,prior,score,conduct,longitudinal,hyperactivity,youth,scores,brown
17,Topic_18,visual,barriers,impairment,germany,cooperation,responsibility,team,german,always,assignments
18,Topic_19,assistants,instructional,pupil,von,employed,coding,models,roles,video,mentioned
19,Topic_20,idea,belonging,organisation,norway,outside,placement,goal,organisational,seemed,human
